Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Премия
8.7,26,90,31,14,15,26,21200.0
5.1,100,135,36,24,17,11,67200.0
2.2,7,144,32,13,17,18,10000.0
7.9,59,235,0,22,15,6,30500.0
6.4,41,110,4,1,13,22,10000.0
8.0,87,221,18,10,18,9,30100.0
5.8,13,223,10,7,8,17,10000.0
8.7,25,112,15,22,2,14,54900.0
9.6,81,232,24,13,20,6,41000.0
4.5,53,187,25,5,10,21,16400.0
6.0,29,185,33,11,19,13,19200.0
4.8,2,169,13,29,14,11,27700.0
4.7,45,228,9,12,15,17,10000.0
3.3,27,206,38,18,12,26,29700.0
2.3,2,81,2,21,0,11,27700.0
7.4,100,218,10,25,14,6,58300.0
5.0,25,164,41,10,11,13,38500.0
5.7,91,295,40,6,10,23,44700.0
8.4,82,187,28,29,1,20,90900.0
7.2,28,175,10,3,16,6,10000.0
7.1,30,163,7,25,13,24,17700.0
7.2,71,244,38,14,2,14,76700.0
3.6,13,244,8,29,7,18,30600.0
2.8,61,245,19,3,9,23,10000.0
9.1,51,275,23,15,7,12,53000.0
9.4,20,206,25,13,18,9,24300.0
2.9,16,282,10,4,13,6,10000.0
7.4,29,166,48,18,1,10,86500.0
6.2,51,122,31,20,10,24,44700.0
9.5,99,129,41,27,20,18,72200.0
6.6,87,230,32,29,11,6,86800.0
6.2,68,92,18,15,11,5,46300.0
4.6,13,288,45,8,5,22,38100.0
9.6,59,153,13,24,18,8,41900.0
9.2,62,83,18,6,4,16,40000.0
6.5,34,273,26,26,5,7,71200.0
3.0,79,107,18,16,17,11,26700.0
1.9,81,291,1,26,10,16,32100.0
9.3,92,253,45,17,15,11,75700.0
9.4,2,181,49,7,3,21,51900.0
7.6,97,128,2,18,19,4,31300.0
3.3,22,258,26,1,14,24,10000.0
7.6,53,234,14,16,9,15,36100.0
6.5,0,156,4,15,4,28,10000.0
9.8,48,162,2,17,19,24,10000.0
4.0,18,111,41,4,8,19,25400.0
2.3,32,181,17,20,20,2,19200.0
7.1,85,294,31,3,12,7,44200.0
6.6,76,211,14,11,15,8,28500.0
9.2,4,129,36,26,9,16,60600.0
7.9,52,136,31,12,3,20,54400.0
6.8,24,143,32,9,18,10,20300.0
2.0,40,300,32,22,17,18,29000.0
8.0,21,85,29,17,17,9,33800.0
5.5,81,80,37,2,18,24,15300.0
8.9,84,127,42,0,11,14,49000.0
6.5,34,277,39,22,6,16,67200.0
9.1,57,160,3,26,1,17,58300.0
8.0,36,271,4,6,14,4,10000.0
9.3,84,151,38,7,2,23,65300.0
3.7,26,109,3,20,19,24,10000.0
5.7,42,82,48,16,13,22,48000.0
7.6,95,80,8,18,17,7,37700.0
9.3,72,141,11,21,12,6,52700.0
8.6,53,173,7,19,14,26,14600.0
6.2,56,158,41,5,5,23,44700.0
2.0,15,179,44,8,11,11,31500.0
9.7,71,227,32,5,12,25,31200.0
6.7,27,300,38,27,20,10,50000.0
7.0,29,292,28,23,2,25,56200.0
6.8,63,266,30,24,0,13,85500.0
3.4,32,168,9,5,10,0,12900.0
8.7,24,228,42,22,14,25,46600.0
5.5,12,87,15,23,5,22,32100.0
8.6,79,115,48,4,7,12,68900.0
2.5,18,269,37,0,15,25,10000.0
7.3,5,111,26,18,6,27,30100.0
6.0,21,241,26,15,3,24,36800.0
5.7,7,219,1,22,5,12,25500.0
7.6,99,168,18,13,9,25,39400.0
8.1,0,195,19,2,3,15,17200.0
8.7,79,89,25,9,13,19,34600.0
9.0,5,218,0,16,9,24,10000.0
1.6,62,113,13,9,11,2,24300.0
4.2,73,295,20,5,19,5,14800.0
8.1,36,222,43,0,0,15,55000.0
2.5,12,275,48,22,6,17,60600.0
7.3,44,212,44,24,13,18,63800.0
5.5,23,249,43,24,16,0,64900.0
2.7,98,165,44,25,15,9,77300.0
5.5,34,238,20,22,8,18,40200.0
1.3,73,216,35,8,3,15,50500.0
1.6,62,202,4,28,17,27,10000.0
8.8,17,189,41,22,5,3,83700.0
5.9,74,85,29,17,2,25,59500.0
5.1,67,175,18,29,5,25,56800.0
1.4,82,216,23,13,11,1,46900.0
3.1,14,155,39,16,20,27,10000.0
