Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Возраст,Стаж работы (лет),Уровень образования,Пол,Отдел,Зарплата,Премия
8.3,73,158,42,15,20,28,35,40,High School,Male,Marketing,58414,35000.0
6.3,95,187,49,15,20,13,53,5,High School,Female,Marketing,98939,59600.0
4.0,89,213,50,2,6,4,64,14,Master,Female,IT,41839,71700.0
4.0,100,292,45,12,17,5,46,36,Master,Female,HR,106778,62000.0
3.0,84,104,40,10,6,18,47,39,Master,Male,Marketing,50382,56200.0
6.5,79,156,40,26,6,2,54,24,High School,Female,Marketing,84391,101700.0
2.6,31,81,45,9,19,26,35,22,PhD,Male,HR,98121,10000.0
1.7,23,168,5,5,10,11,63,21,PhD,Male,HR,102330,10000.0
7.6,4,257,47,3,3,20,54,9,PhD,Male,Finance,33225,41900.0
2.3,47,259,36,1,4,17,45,26,Bachelor,Male,Finance,86738,31200.0
5.4,86,188,20,18,13,25,57,22,Master,Female,IT,101060,32600.0
2.1,27,159,28,13,20,2,62,24,Master,Male,HR,36643,17800.0
2.3,37,130,2,26,2,22,36,38,Master,Male,Sales,45219,30700.0
6.6,45,154,17,8,14,13,59,39,High School,Female,Finance,98181,14700.0
6.3,83,97,47,16,7,16,33,33,PhD,Male,Sales,116091,78500.0
5.7,79,89,4,26,18,17,37,21,Bachelor,Female,Sales,79368,25100.0
9.0,66,218,7,21,0,25,53,8,PhD,Female,HR,93371,51300.0
4.2,76,208,24,25,10,14,43,20,Master,Female,HR,43360,58700.0
2.9,70,212,7,12,12,20,32,4,Bachelor,Male,Finance,109147,10000.0
4.8,23,86,25,6,12,18,37,4,Bachelor,Male,Finance,54877,10000.0
3.4,40,233,39,11,20,3,64,12,High School,Female,HR,33858,31300.0
2.2,85,84,12,30,7,17,34,18,PhD,Female,Finance,44247,55900.0
6.9,31,166,43,24,11,22,29,10,Master,Female,HR,30427,58100.0
8.2,28,250,41,6,10,18,26,5,Master,Male,Marketing,119721,36800.0
8.2,25,97,1,15,2,11,29,6,High School,Female,Sales,92300,32400.0
8.5,8,138,15,18,5,26,62,15,High School,Female,Finance,103581,25400.0
9.8,36,216,44,0,19,17,29,33,Master,Male,HR,41661,19400.0
2.5,43,244,5,22,19,20,59,30,Master,Male,IT,61381,10000.0
1.9,73,204,46,7,6,28,39,38,PhD,Male,HR,86895,42200.0
6.8,28,201,46,8,7,22,23,4,High School,Male,HR,36464,44000.0
